cty,industry,industry_naics_code,industry_employment
1061,"Professional, scientific, & technical services",54,85
1061,Management of companies & enterprises,55,0
1061,Administrative & support & waste management & remediation serv,56,106
1061,Educational services,61,0
1061,Health care & social assistance,62,835
1061,"Arts, entertainment, & recreation",71,0
1061,Accommodation & foodservices,72,168
1061,Other services (except public administration),81,140
1061,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,0
1061,Unclassified,99,0
1063,"Agriculture, forestry, fishing, & hunting",11,50
1063,Utilities,22,0
1063,Construction,23,65
1063,Manufacturing,31,461
1063,Wholesale trade,42,58
1063,Retail Trade,44,196
1063,Transportation & Warehousing,48,0
1063,Information,51,0
1063,Finance & insurance,52,41
1063,Real estate & rental & leasing,53,19
1063,"Professional, scientific, & technical services",54,21
1063,Management of companies & enterprises,55,0
1063,Administrative & support & waste management & remediation serv,56,0
1063,Educational services,61,0
1063,Health care & social assistance,62,176
1063,"Arts, entertainment, & recreation",71,0
1063,Accommodation & foodservices,72,72
1063,Other services (except public administration),81,74
1063,Unclassified,99,0
1065,"Agriculture, forestry, fishing, & hunting",11,88
1065,Utilities,22,0
1065,Construction,23,103
1065,Manufacturing,31,1340
1065,Wholesale trade,42,62
1065,Retail Trade,44,376
1065,Transportation & Warehousing,48,119
1065,Information,51,0
1065,Finance & insurance,52,80
1065,Real estate & rental & leasing,53,38
1065,"Professional, scientific, & technical services",54,0
1065,Management of companies & enterprises,55,0
1065,Administrative & support & waste management & remediation serv,56,29
1065,Educational services,61,0
1065,Health care & social assistance,62,461
1065,"Arts, entertainment, & recreation",71,0
1065,Accommodation & foodservices,72,0
1065,Other services (except public administration),81,74
1065,Unclassified,99,0
1067,"Agriculture, forestry, fishing, & hunting",11,180
1067,Mining,21,0
1067,Utilities,22,0
1067,Construction,23,197
1067,Manufacturing,31,1641
1067,Wholesale trade,42,387
1067,Retail Trade,44,457
1067,Transportation & Warehousing,48,0
1067,Information,51,0
1067,Finance & insurance,52,96
